FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
1023, , ,1999-00 Prescribed Burn,2000/06/07 00:00:00+00,,12.01590063,2046.59954568,26/03/2020,Prescribed Burn,1999-00,1061,1999,1999/01/01 00:00:00+00,120010.38671875,2045.33364733015
1024, , ,1999-00 Prescribed Burn,2000/06/07 00:00:00+00,,11.05166001,1857.1219681,26/03/2020,Prescribed Burn,1999-00,1062,1999,1999/01/01 00:00:00+00,110382.0703125,1855.99125314553
1025, , ,1999-00 Prescribed Burn,2000/03/04 00:00:00+00,,601.19853602,14757.4777448,26/03/2020,Prescribed Burn,1999-00,1063,1999,1999/01/01 00:00:00+00,6019688.37890625,14766.9660790197
1028, , ,1999-00 Prescribed Burn,2000/09/16 00:00:00+00,,111.83426512,11718.6711078,26/03/2020,Prescribed Burn,1999-00,1066,1999,1999/01/01 00:00:00+00,1121431.2265625,11734.8409632509
1029, , ,1999-00 Prescribed Burn,2000/09/16 00:00:00+00,,222.79873778,23319.2704661,26/03/2020,Prescribed Burn,1999-00,1067,1999,1999/01/01 00:00:00+00,2233831.62109375,23349.8854936413
1030, , ,1999-00 Prescribed Burn,2000/09/16 00:00:00+00,,226.94069077,7527.04593735,26/03/2020,Prescribed Burn,1999-00,1068,1999,1999/01/01 00:00:00+00,2275499.3671875,7537.1417272589
1038, ,Chaelundi SWC,1999-00 Prescribed Burn,2000/03/31 00:00:00+00,,217.25935352,6928.76075503,26/03/2020,Prescribed Burn,1999-00,1076,1999,1999/01/01 00:00:00+00,2175061.30859375,6932.69104684039
1064, ,NRRH00006,2000-01 Prescribed Burn,2000/07/18 00:00:00+00,,28.04805525,2461.20947677,26/03/2020,Prescribed Burn,2000-01,1110,2000,2000/01/01 00:00:00+00,281691.296875,2466.5136686162
1065, ,NRRH00005,2000-01 Prescribed Burn,2000/07/20 00:00:00+00,,2.89546879,1498.69287538,26/03/2020,Prescribed Burn,2000-01,1111,2000,2000/01/01 00:00:00+00,20290.234375,1487.52961257531
1066, ,NRRH00018,2000-01 Prescribed Burn,2000/07/26 00:00:00+00,,2.28289331,667.55118047,26/03/2020,Prescribed Burn,2000-01,1112,2000,2000/01/01 00:00:00+00,22909.21875,668.723990059912
1072, , ,2000-01 Prescribed Burn,2000/08/02 00:00:00+00,,415.15972245,27963.5821229,26/03/2020,Prescribed Burn,2000-01,1119,2000,2000/01/01 00:00:00+00,90819.4140625,2771.63093478527
1075,Humbug,MNCH01001,2001-02 Prescribed Burn,2001/07/19 00:00:00+00,,18.52742806,2338.59350972,26/03/2020,Prescribed Burn,2001-02,1124,2001,2001/01/01 00:00:00+00,185055.953125,2337.21481989876
1076,Humbug,MNCH01001,2001-02 Prescribed Burn,2001/07/19 00:00:00+00,,71.76870976,3556.05716807,26/03/2020,Prescribed Burn,2001-02,1125,2001,2001/01/01 00:00:00+00,716845.4296875,3553.97138792005
1077,Humbug,MNCH01001,2001-02 Prescribed Burn,2001/07/19 00:00:00+00,,27.65422685,2540.71614039,26/03/2020,Prescribed Burn,2001-02,1126,2001,2001/01/01 00:00:00+00,276218.796875,2539.22946000026
1078,Humbug,MNCH01001,2001-02 Prescribed Burn,2001/07/19 00:00:00+00,,59.55653281,3021.88452997,26/03/2020,Prescribed Burn,2001-02,1127,2001,2001/01/01 00:00:00+00,594867.16796875,3020.11276501247
1079,Humbug,MNCH01001,2001-02 Prescribed Burn,2001/07/19 00:00:00+00,,26.50897179,2212.01890432,26/03/2020,Prescribed Burn,2001-02,1128,2001,2001/01/01 00:00:00+00,264777.9921875,2210.71803572648
1080,Interface,MNCH01011,2001-02 Prescribed Burn,2001/07/01 00:00:00+00,,4.44958285,981.75141593,26/03/2020,Prescribed Burn,2001-02,1129,2001,2001/01/01 00:00:00+00,44446.58984375,981.2080986844
1081,Interface,MNCH01011,2001-02 Prescribed Burn,2001/07/01 00:00:00+00,,5.65451283,1228.4435271,26/03/2020,Prescribed Burn,2001-02,1130,2001,2001/01/01 00:00:00+00,56482.73828125,1227.76558909931
1082,Long Saddle HR Burn,NCR01,2001-02 Prescribed Burn,2002/05/01 00:00:00+00,,101.20779127,7142.6039378,26/03/2020,Prescribed Burn,2001-02,1131,2001,2001/01/01 00:00:00+00,1012016.07421875,7142.3890927978
1083,Bongil Bongil Strategic HR,NCR01,2001-02 Prescribed Burn,2002/03/28 00:00:00+00,,12.21538387,1504.48063457,26/03/2020,Prescribed Burn,2001-02,1132,2001,2001/01/01 00:00:00+00,122218.74609375,1504.88014513042
1084,Boundary Creek PB area 2,NCR01,2001-02 Prescribed Burn,2001/09/21 00:00:00+00,,107.34285858,6016.07196443,26/03/2020,Prescribed Burn,2001-02,1133,2001,2001/01/01 00:00:00+00,1074060.70703125,6017.84805846263
1085,Perrys Prescribed Burn,NCR01,2001-02 Prescribed Burn,2001/09/13 00:00:00+00,,638.3849755,14995.7547605,26/03/2020,Prescribed Burn,2001-02,1134,2001,2001/01/01 00:00:00+00,6391011.1796875,15004.1794347676
1086,Eblings HR,NCRHO002,2001-02 Prescribed Burn,2001/12/14 00:00:00+00,,189.25389133,9601.444653,26/03/2020,Prescribed Burn,2001-02,1135,2001,2001/01/01 00:00:00+00,1897896.625,9615.02684415417
1087, ,NRRH01035,2001-02 Prescribed Burn,2001/09/11 00:00:00+00,,22.76805993,2002.58551493,26/03/2020,Prescribed Burn,2001-02,1136,2001,2001/01/01 00:00:00+00,228475.59765625,2006.07910570872
1088, ,NRRH01043,2001-02 Prescribed Burn,2001/09/29 00:00:00+00,,70.44386327,4293.95820524,26/03/2020,Prescribed Burn,2001-02,1137,2001,2001/01/01 00:00:00+00,708175.109375,4305.3319041128
1089,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,1.01911347,470.66259243,26/03/2020,Prescribed Burn,2001-02,1138,2001,2001/01/01 00:00:00+00,10206.44140625,471.01593233057
1090,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.91155421,402.81241553,26/03/2020,Prescribed Burn,2001-02,1139,2001,2001/01/01 00:00:00+00,9128.99609375,403.109710075082
1091,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.48098149,363.28696659,26/03/2020,Prescribed Burn,2001-02,1140,2001,2001/01/01 00:00:00+00,4816.82421875,363.551632711057
1092,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.36961302,242.44960655,26/03/2020,Prescribed Burn,2001-02,1141,2001,2001/01/01 00:00:00+00,3701.56640625,242.628065630552
1093,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,1.81872077,624.42694751,26/03/2020,Prescribed Burn,2001-02,1142,2001,2001/01/01 00:00:00+00,18213.68359375,624.881274912851
1094,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.98907963,450.58154007,26/03/2020,Prescribed Burn,2001-02,1143,2001,2001/01/01 00:00:00+00,9905.1953125,450.909560326768
1095,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.12797031,137.32663013,26/03/2020,Prescribed Burn,2001-02,1144,2001,2001/01/01 00:00:00+00,1281.62890625,137.429468441124
1096,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.40789634,238.10213842,26/03/2020,Prescribed Burn,2001-02,1145,2001,2001/01/01 00:00:00+00,4084.9765625,238.277393124471
1097,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.15340394,160.88222946,26/03/2020,Prescribed Burn,2001-02,1146,2001,2001/01/01 00:00:00+00,1536.296875,161.000537468067
1098,Biodiversity research Group HR,NTR01001,2001-02 Prescribed Burn,2001/08/08 00:00:00+00,,0.29779477,221.47866347,26/03/2020,Prescribed Burn,2001-02,1147,2001,2001/01/01 00:00:00+00,2982.27734375,221.639677223015
1099,Petrie HR,NTR01019,2001-02 Prescribed Burn,2001/09/07 00:00:00+00,,124.85857652,6849.42436581,26/03/2020,Prescribed Burn,2001-02,1148,2001,2001/01/01 00:00:00+00,1252757.43359375,6860.85287432259
1100,Grey Street,n/a,2001-02 Prescribed Burn,2001/07/30 00:00:00+00,,2.95129699,687.29217019,26/03/2020,Prescribed Burn,2001-02,1149,2001,2001/01/01 00:00:00+00,29506.87890625,687.221293458966
1101,Deveridges / Dump,n/a,2001-02 Prescribed Burn,2001/07/30 00:00:00+00,,2.55016869,1607.40586932,26/03/2020,Prescribed Burn,2001-02,1150,2001,2001/01/01 00:00:00+00,25495.5859375,1607.21358180101
1102,Cemetary,n/a,2001-02 Prescribed Burn,2001/07/30 00:00:00+00,,3.97685786,1038.97970593,26/03/2020,Prescribed Burn,2001-02,1151,2001,2001/01/01 00:00:00+00,39759.1171875,1038.85625830844
1103, , ,2001-02 Prescribed Burn,2001/10/01 00:00:00+00,,228.07363349,6893.54683445,26/03/2020,Prescribed Burn,2001-02,1152,2001,2001/01/01 00:00:00+00,2286951.171875,6902.93511326199
1104,SF NSW HR burns, ,2001-02 Prescribed Burn,2002/03/01 00:00:00+00,,0.46360802,255.37939316,26/03/2020,Prescribed Burn,2001-02,1156,2001,2001/01/01 00:00:00+00,4629.8984375,255.208958838503
1105,SF NSW HR burns, ,2001-02 Prescribed Burn,2001/10/10 00:00:00+00,,62.61076542,5115.46234856,26/03/2020,Prescribed Burn,2001-02,1157,2001,2001/01/01 00:00:00+00,625010.2734375,5110.97836710713
1106,SF NSW HR burns, ,2001-02 Prescribed Burn,2001/09/12 00:00:00+00,,25.93640929,2041.22857742,26/03/2020,Prescribed Burn,2001-02,1158,2001,2001/01/01 00:00:00+00,258894.82421875,2039.38110793035
1107,SF NSW HR burns, ,2001-02 Prescribed Burn,2002/05/23 00:00:00+00,,115.38124294,6635.42087469,26/03/2020,Prescribed Burn,2001-02,1159,2001,2001/01/01 00:00:00+00,1151730.83984375,6629.43225186517
1115,Boundary Creek PB,NCR01,2001-02 Prescribed Burn,2001/09/21 00:00:00+00,,509.92015487,12071.0359569,26/03/2020,Prescribed Burn,2001-02,1167,2001,2001/01/01 00:00:00+00,5102162.59375,12074.5530138167
1119,Trapyard Road HR,MNCH0220,2001-02 Prescribed Burn,2002/05/10 00:00:00+00,,31.54682192,2678.25983528,26/03/2020,Prescribed Burn,2001-02,1171,2001,2001/01/01 00:00:00+00,314994.05859375,2676.24616362622
1120,Trapyard Road HR,MNCH0220,2001-02 Prescribed Burn,2002/05/10 00:00:00+00,,16.85224717,1711.93657328,26/03/2020,Prescribed Burn,2001-02,1172,2001,2001/01/01 00:00:00+00,168268.12890625,1710.64430077219
1121,Trapyard Road HR,MNCH0220,2001-02 Prescribed Burn,2002/05/10 00:00:00+00,,14.30053622,1764.26204856,26/03/2020,Prescribed Burn,2001-02,1173,2001,2001/01/01 00:00:00+00,142789.88671875,1762.93239870456
1122,Old Bar Road HR,MNCH0221,2001-02 Prescribed Burn,2002/06/27 00:00:00+00,,3.81881946,2600.34679563,26/03/2020,Prescribed Burn,2001-02,1174,2001,2001/01/01 00:00:00+00,38135.3828125,2598.54808719759
